id,name,name_short,start_date,end_date,private,title_ids,title_names
106498,Gamers Club Masters Feminina V,Gamers Club Masters ,,,False,['1'],['Counter Strike: Global Offensive']
106499,5E Arena Asia Cup 2022: Closed Qualifier,5E Arena Asia Cup 20,,,False,['1'],['Counter Strike: Global Offensive']
106500,CCT Central Europe Series #1: Closed Qualifier,CCT Central Europe S,,,False,['1'],['Counter Strike: Global Offensive']
106501,Khaz Modan Cup Season 4,Khaz Modan Cup Seaso,,,False,['2'],['Defense of the Ancients 2']
106505,LATAM Rookie Challenge: Open Qualifier #3,LATAM Rookie Challen,,,False,['2'],['Defense of the Ancients 2']
106506,CBCS Masters 2022: Closed Qualifier,CBCS Masters 2022: C,,,False,['1'],['Counter Strike: Global Offensive']
106507,FiReLEAGUE 2022: Brazil,FiReLEAGUE 2022: Bra,,,False,['1'],['Counter Strike: Global Offensive']
106511,5E Arena Asia Cup 2022,5E Arena Asia Cup 20,,,False,['1'],['Counter Strike: Global Offensive']
106515,SteelSeries Nova Invitational,SteelSeries Nova Inv,,,False,['1'],['Counter Strike: Global Offensive']
106516,LATAM Rookie Challenge: Open Qualifier #4,LATAM Rookie Challen,,,False,['2'],['Defense of the Ancients 2']
106519,1x Series,1x Series,,,False,['2'],['Defense of the Ancients 2']
106520,CCT South America Series #1,CCT South America Se,,,False,['1'],['Counter Strike: Global Offensive']
106522,Dota 2 Champions League Season 14: Open Qualifier,Dota 2 Champions Lea,,,False,['2'],['Defense of the Ancients 2']
106524,Dota 2 Champions League Season 14,Dota 2 Champions Lea,,,False,['2'],['Defense of the Ancients 2']
106526,LATAM Rookie Challenge,LATAM Rookie Challen,,,False,['2'],['Defense of the Ancients 2']
106527,ESEA Cash Cup: Europe - Summer 2022 #4,ESEA Cash Cup: Europ,,,False,['1'],['Counter Strike: Global Offensive']
